"front","back","tags"
"theo: chastity is the successful (...) of sexuality within the person","integration",
"theo: chastity is the inner unity of man in his (...) and (...) being","bodily; spiritual",
"theo: the virtue of chastity involves?","the integrity of the person and the integrality of the gift",
"theo: a chaste person maintains?","the integrity of the powers of life and love placed in him",
"theo: the integrity maintained by a chaste person ensures?","the unity of the person",
"theo: chastity is the virtue of a person which keeps order in?","the sphere of sexual activity and sexuality",
"theo: in the past, chastity was narrowly identified with (...)","abstinence",
"theo: chastity (...) sexuality","reverences",
"theo: definition of unchastity","dehumanizing use of one’s sexual powers",
"theo: in unchastity, what happens to sexuality?","isolated from the total context of human love",
"theo: the Church says “no” to (...) violations of sexuality as a language of love","egregious",
"theo: the Church says “no” to (...) violations that separate the dimensions of sexuality","subtle",
"theo: the church says “yes” to sexuality as a (...)","language of love",
